idx,input_license
1350244,Coming soon
1350490,https://github.com/beardsvibe/buildfox/blob/master/license
1350606,BuildingsIOT
1350724,BSD4
1352645,"Copyright (c) 2020, Jeremy Worsfold"
1354042,Hacktivismo Enhanced-Source Software License Agreement
1355384,tempkakao
1355389,tnw
1358085,GPL-v2
1359845,"Copyright (c) 2018, Chris Mutel and Paul Scherrer Institut"
1359849,"Copyright (c) 2017, Chris Mutel and Paul Scherrer Institut"
1360546,QPL.txt
1361325,Free For Home Use
1361819,Bym-developers
1362574,ByteBlower End User License Agreement
1364246,"GNU General Public License, version 2"
1371858,"Copyright (c) 2011, Alexander RÃ¸dseth"
1373047,multi
1374663,See package description
1375391,See https://github.com/FujitsuLaboratories/CAC/LICENSE
1376786,Copyright 2019 Kitsu Yui
1378237,multiple
1378463,duyvnc
1378524,Copyright 2020
1379125,"Copyright © Transport for the North (“TfN”) (2025).
        
        
        Use of this software and associated documentation files (“the Software”) by you indicates your acceptance of the terms and conditions below (“the Licence”).
        We make available the Software to you on the basis of this Licence. We do not sell the Software to you. We remain the owners of the Software at all times.
        
        We grant you a non-exclusive, worldwide, royalty-free, perpetual licence:
        (a)	to use the Software;
        (b)	to develop, modify and maintain the Software;
        (c)	copy, publish, distribute and transmit the Software;
        (d)	adapt the Software.
        
        Where you do any of the above you must acknowledge the source of the Software in your product or application by including or linking the following attribution statement in a prominent and noticeable location in or in the context of your product or application:
        “Outputs derived from CAF.NTEM (Common Analytical Framework NTEM processes), developed by Transport for the North [https://github.com/Transport-for-the-North/caf.ntem]”
        
        Any adaptations applied to the Software before application should be briefly described alongside the above citation. We encourage you to submit to us any adaptations to the Software and where you choose to do so your submissions will be considered for integration into the Software.
        
        The above are important conditions of this Licence and if you fail to comply with them the rights granted to you under this Licence will end automatically.
        This Licence does not grant you any right to use the Software in a way that suggests any official status or that we endorse you or your use of the Software.
        The Software is licenced 'as is' and we exclude all representations, warranties, obligations and liabilities in relation to the Software to the maximum extent permitted by law.
        We are not liable for any errors or omissions in the Software and shall not be liable for any loss, injury or damage of any kind caused by its use. We do not guarantee the continued supply of the Software.
        This Licence is governed by the laws of the jurisdiction in which we have our principal place of business.
        "
1379169,"Copyright © Transport for the North (“TfN”) (2024).   Use of this software and associated documentation files (“the Software”) by you indicates your acceptance of the terms and conditions below (“the Licence”). We make available the Software to you on the basis of this Licence. We do not sell the Software to you. We remain the owners of the Software at all times.  We grant you a non-exclusive, worldwide, royalty-free, perpetual licence: (a)	to use the Software; (b)	to develop, modify and maintain the Software; (c)	copy, publish, distribute and transmit the Software; (d)	adapt the Software.  Where you do any of the above you must acknowledge the source of the Software in your product or application by including or linking the following attribution statement in a prominent and noticeable location in or in the context of your product or application: “Outputs derived from CAF.Viz (the Common Analytical Framework Visualisation Suite), developed by Transport for the North [https://github.com/Transport-for-the-North/caf.viz]”  Any adaptations applied to the Software before application should be briefly described alongside the above citation. We encourage you to submit to us any adaptations to the Software and where you choose to do so your submissions will be considered for integration into the Software.  The above are important conditions of this Licence and if you fail to comply with them the rights granted to you under this Licence will end automatically. This Licence does not grant you any right to use the Software in a way that suggests any official status or that we endorse you or your use of the Software. The Software is licenced 'as is' and we exclude all representations, warranties, obligations and liabilities in relation to the Software to the maximum extent permitted by law. We are not liable for any errors or omissions in the Software and shall not be liable for any loss, injury or damage of any kind caused by its use. We do not guarantee the continued supply of the Software. This Licence is governed by the laws of the jurisdiction in which we have our principal place of business. "
1380223,WISKEY License
1380826,Closed
1381347,GREEN LIME
1382223,licensed
1382630,USP
1383414,{{ cookiecutter.open_source_license }}
1383829,Prosperity Public License
1384944,"CallLogDB Proprietary Internal Use Only License  Copyright (c) 2025 MCN telecom.  Grant of License This software is licensed, not sold, to you solely for internal, non-commercial use within your organization. You may use, copy, and modify the software only for internal business purposes.  Restrictions You shall not distribute, sublicense, lease, or otherwise transfer the software or any portion thereof to any third party. Unauthorized use, reproduction, or disclosure of the software is strictly prohibited.  Ownership All rights, title, and interest in and to the software and all copies thereof remain with MCN telecom. No rights or licenses are granted, except as expressly provided in this agreement.  Disclaimer of Warranty THE SOFTWARE IS PROVIDED ""AS IS"" WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING, BUT NOT LIMITED TO, THE WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, AND NON-INFRINGEMENT. IN NO EVENT SHALL MCN telecom BE LIABLE FOR ANY DAMAGES ARISING OUT OF OR IN CONNECTION WITH THE USE OF THE SOFTWARE.  Termination This license is effective until terminated. Your rights under this license will terminate automatically without notice if you fail to comply with any of its terms. Upon termination, you must immediately cease all use of the software and destroy all copies in your possession.  Governing Law This license shall be governed by and construed in accordance with the laws of Russian Federation.  By using this software, you acknowledge that you have read, understood, and agree to be bound by the terms and conditions of this license."
1387960,Robby
1391471,Eternals Vlazars License
1393179,©2023 All Rights Reserved
1393474,betterwithdata Sample Code License
1393979,Copyright 2020 to 2021 CanvasXpress all rights reserved
1396444,"Copyright Counsyl, Inc."
1396789,"GNU General Public License, Version 3.0"
1401678,SEE LICENSE IN LICENSE.md
1403333,CACHET Research Platform
1404676,OPEN LICENCE 2.0/LICENCE OUVERTE 2.0
1406924,Apache Version 2.o
1406990,todo
1409760,CasperLabs Open Source License (COSL)
1409999,DataStax DSE Driver License http://www.datastax.com/terms/datastax-dse-driver-license-terms
1410906,AC
1412091,CISCO SAMPLE CODE LICENSE
1412430,Catalyst AI
1414562,NOT OPEN SOURCE
1417067,closed
1417798,"Copyright (c) 2017, Kenneth Reitz"
1418751,GNU License Version 3
1421507,chinabanksoft
1423707,DWTFYWT PUBLIC LICENSE
1424131,Research and Academic Use License
1424660,BSD 3 - See License file
1425284,OpenBSD
1426534,Various
1442046,NOSA
1442097,http://www-pcmdi.llnl.gov/software-portal/cdat/docs/cdat-license
1442425,(c) Christian Dior Couture
1443726,Buyer BeSoftware
1537219,"{file = ""LICENSE""}"
1537235,BSD - See LICENSE file for details
1538679,Oxford
1539479,BSD-Derived
1539786,"BSD license, see LICENSE"
1542096,GPL/LGPL/MPL
1545134,HL3-CL-ECO-EXTR-FFD-LAW-MIL-SV
1546913,"Copyright (c) 2017, Akshay."
1547911,Nekodu Technology Inc - © Copyright 2023. All Rights Reserved.
1548197,BSD2-Simplified
1548296,Cerner
1557186,"All Rights Reserved  Copyright (c) 2024 Malik HOUNI  This software and associated documentation files (the ""Software"") are the property of the copyright holder. You are not permitted to use, copy, modify, merge, publish, distribute, sublicense, and/or sell copies of the Software without explicit written permission from the copyright holder.  The Software is provided ""AS IS"", without warranty of any kind, express or implied, including but not limited to the warranties of merchantability, fitness for a particular purpose, and noninfringement. In no event shall the authors or copyright holders be liable for any claim, damages, or other liability, whether in an action of contract, tort, or otherwise, arising from, out of, or in connection with the Software or the use or other dealings in the Software. "
1558893,Please see LICENSE.txt.
1558924,License :: Free For Home Use
1559671,LGPGLv3
1560570,PSF like
1562771,Copyright 2016 Shaun Martin
1563659,(c) 2014 HIT Information-Control GmbH
1566538,SIMURA License
1566633,MIP
1568196,"BSD license, see license.txt"
1575505,"(c) ADP, LLC"
1575910,Ciena
1579148,blah blah blah
1585696,# Attribution-NonCommercial-NoDerivatives 4.0 International
1586908,Proprietary.  Do not distribute outside of Infineon Technologies AG.
1587532,GNU LGPL v2
1587851,Free for All
1588559,IFOOTH
1593002,"Copyright (c) 2024, DevX CD, All Rights Reserved "
1596423,BSD-3C
1597699,BRUH
1599626,Propietary
1603115,"GPL v3 licence, see COPYING"
1607004,GNU-GPL-V3
1608488,Copyright(c)2010-2022 Tencent All Rights Reserved.
1608518,Copyright(c)2010-2019 Tencent All Rights Reserved.
1611460,pypi-AgEIcHlwaS5vcmcCJGJjZDIxYzU3LWNmZTQtNDg3Yi1iMjk2LTk4MzQ3MTExYjM2OQACKlszLCJkMWMwZDM4Zi1mMzVmLTQ1NGQtOTNhNy03ZWQ4ZWRlZmIxMTgiXQAABiBAcBNHnAsi6WLzzVXaEa2PICsgofBYTC0O4RGUP_hUlw
1613249,CLOSED
1640329,"<open file 'LICENSE', mode 'r' at 0x7fdb3b7865d0>"
1641655,"Copyright (c) 2015, Robert Hetand"
1644379,custon
1645400,GLP3.0
1645864,HUST
1651538,BSD-Modified
1653626,{'file': 'LICENSE'}
1659591,peiname
1660244,LGPL+BSD
1660662,See LICENSE file
1662126,CHANGE_ME
1663346,Dmitry Ostroushko
1664101,Copyright Ruamel bvba 2007-2024
1666489,Private Use Only
1671527,GNU GPL Versin 3
1673090,"Copyright (c) 2017, Weslley Caldas"
1674140,asdasdasdasdasd
1674559,Non-commercial license. Not an open-source license.
1677053,MSI
1685392,xiaomi internal license
1690595,Copyright 2018 Duo Security
1691817,NO-LICENCE
1692604,GLP-3.0
1692885,University of Oxford Academic Use Licence
1694554,TBA
1696987,"Copyright (c) 2017, Battelle Memorial Institute"
1697278,"## License Agreement
        
        **IMPORTANT:** THIS END-USER LICENSE AGREEMENT (\""EULA\"") IS A LEGAL
        AGREEMENT BETWEEN YOU AND TECHNICA ENGINEERING GMBH. BY USING THE
        SOFTWARE, WHICH IS SUPPLIED WITH THIS LICENSE AGREEMENT FOR END-USERS,
        YOU ARE EXPRESSING YOUR CONSENT TO ITS TERMS. IF YOU DO NOT AGREE WITH
        THEM, DO NOT INSTALL AND / OR USE THIS SOFTWARE.
        
        BY INSTALLING, COPYING OR OTHERWISE USING THE SOFTWARE, YOU AGREE TO BE
        BOUND BY THE TERMS AND CONDITIONS OF THIS EULA.
        
        **1**. **LICENSE GRANT.** You may install and use a limited number of
        copies of the Software on different computers. You accept that after the
        license expiration time the Software may stop being functional. The user
        undertakes to treat the software confidentially and not to disclose or
        make it accessible to a third party in any other way and to take all
        reasonable measures to prevent that.
        
        **2. PROPERTY**. The software and its copyright are owned by Technica
        Engineering GmbH. Your license does not convey any document or ownership
        of the software and should not be construed as a sale of the software's
        rights.
        
        **3. COPYRIGHT.** The software and, without exception, all proprietary
        rights are owned by Technica Engineering GmbH or its suppliers and are
        protected by all applicable copyright laws and international treaties as
        well as other intellectual property and commercial contracts. The
        software is licensed, not sold.
        
        You acknowledge that no intellectual property rights to the Software
        have been transferred to you. In addition, you acknowledge that the
        copyrights and proprietary rights to the software remain the exclusive
        property of Technica Engineering GmbH and you will not be granted any
        rights to the software other than the rights expressly defined in this
        license.
        
        **4. REVERSE ENGINEERING**. You agree that you will not attempt to
        decompile, disassemble, modify or translate the Software as a whole or
        in part.
        
        **5. WARRANTY DISCLAIMER.** There is no guarantee for the software to
        the extent permitted by the law. Unless otherwise stated in writing, the
        copyright owners and / or a third party make the software \""as is\""
        without implying any warranty, either express or implied, including,
        without limitation, the implied warranties of merchantability or fitness
        for a particular purpose. The full risk of the quality and performance
        of the software lies with you. If the software proves to be faulty, the
        costs for the necessary service, repair or correction are at your
        disposal.
        
        The user is free to use the software in the provided form or not. A
        liability of Technica Engineering GmbH for defects of the software does
        not exist.
        "
1698633,"Sciencelogic, Inc."
1700466,Eccenca Copyright
1700736,OVAL TECH
1700910,placeholder
1701353,NIST license https://www.nist.gov/director/licensing
1702860,CM
1704481,Copyright (C) 2023 CNS. All Rights Reserved. See LICENSE for license.
1704734,<_io.TextIOWrapper name='LICENSE' mode='r' encoding='UTF-8'>
1705672,https://github.com/liudengfeng/cnswd/blob/master/LICENSE
1706404,"LGPL, See also LICENSE.txt"
1706472,"AGPL, See also LICENSE.txt"
1706668,"LGPL, see also LICENSE.txt"
1707032,Alexander Thamm GmbH
1709737,EUROPEAN UNION PUBLIC LICENCE v. 1.2 or later
1711011,Cobo Copyright Reserved
1711079,LGPL/GPL v2+
1712185,AL2
1716791,APLv2 License
1717552,Python Cookbook code is freely available for use and review.
1719194,This software is owned by CodeFlex S.A.S. and is protected by applicable copyright laws. The distribution and use of this software are subject to the terms and conditions outlined below.
1720495,S-Lab
1720506,S-Lab License 1.0
1722592,LITL
1723716,Codeship cli to manipulate projects
1724005,"GPL licence, see LICENCE"
1724621,bsd3
1726735,See https://gitee.com/haiqwa/cofutils/blob/main/LICENSE
1737831,Python Script
1739322,Coinsuper
1741857,No License - only for h_da staff or students
1742785,Apache II
1743283,''
1743430,"ZPL,GPL"
1744612,GPL Version 2
1749190,Whatever Plone is
1751906,""""""
1752651,GNU GPL V3.0
1754794,UNH
1754883,Do whatever you want
1755051,GNU Lesser GPL Version 3
1756092,some_licence
1756100,some_license
1756753,Petrabytes Corp.
1761217,GPL v3.0 License
1763885,Creative Commons BY-SA 4.0
1764733,"# 🏳️‍🌈 Opinionated Queer License v1.1
        
        © Copyright [Andrea Vos](https://avris.it), [Kolektyw „Rada Języka Neutralnego”](https://zaimki.pl/kolektyw-rjn)
        
        <div class=""table-responsive"">
            <table class=""table"">
                <thead>
                <tr class=""text-center"">
                    <th>You can</th>
                    <th>You cannot</th>
                    <th>You must</th>
                </tr>
                </thead>
                <tbody>
                <tr>
                    <td>
                        <ul>
                            <li>Use privately</li>
                            <li>Use commercially</li>
                            <li>Modify</li>
                            <li>Adapt</li>
                            <li>Distribute</li>
                            <li>Sublicense</li>
                            <li>Use a patent</li>
                            <li>Add a warranty</li>
                        </ul>
                    </td>
                    <td>
                        <ul>
                            <li>Hold the Licensor liable</li>
                            <li>Be a big corporation</li>
                            <li>Be law enforcement or military</li>
                            <li>Use for bigoted purposes</li>
                            <li>Use for violent purposes</li>
                            <li>Just blatantly resell it<br/><small>(even if laundered through machine learning)</small></li>
                        </ul>
                    </td>
                    <td>
                        <ul>
                            <li>Give credit</li>
                            <li>Indicate changes made</li>
                            <li>Include license or a link</li>
                        </ul>
                    </td>
                </tr>
                </tbody>
            </table >
        </div>
        
        ## Permissions
        
        The creators of this Work (“The Licensor”) grant permission
        to any person, group or legal entity that doesn't violate the prohibitions below (“The User”),
        to do everything with this Work that would otherwise infringe their copyright or any patent claims,
        subject to the following conditions:
        
        ## Obligations
        
        The User must give appropriate credit to the Licensor,
        provide a copy of this license or a (clickable, if the medium allows) link to
        [oql.avris.it/license/v1.1](https://oql.avris.it/license/v1.1),
        and indicate whether and what kind of changes were made.
        The User may do so in any reasonable manner,
        but not in any way that suggests the Licensor endorses the User or their use.
        
        ## Prohibitions
        
        No one may use this Work for prejudiced or bigoted purposes, including but not limited to:
        racism, xenophobia, queerphobia, queer exclusionism, homophobia, transphobia, enbyphobia, misogyny.
        
        No one may use this Work to inflict or facilitate violence or abuse of human rights as defined in the
        [Universal Declaration of Human Rights](https://www.un.org/en/about-us/universal-declaration-of-human-rights).
        
        No law enforcement, carceral institutions, immigration enforcement entities, military entities or military contractors
        may use the Work for any reason. This also applies to any individuals employed by those entities.
        
        No business entity where the ratio of pay (salaried, freelance, stocks, or other benefits)
        between the highest and lowest individual in the entity is greater than 50 : 1
        may use the Work for any reason.
        
        No private business run for profit with more than a thousand employees
        may use the Work for any reason.
        
        Unless the User has made substantial changes to the Work,
        or uses it only as a part of a new work (eg. as a library, as a part of an anthology, etc.),
        they are prohibited from selling the Work.
        That prohibition includes processing the Work with machine learning models.
        
        ## Sanctions
        
        If the Licensor notifies the User that they have not complied with the rules of the license,
        they can keep their license by complying within 30 days after the notice.
        If they do not do so, their license ends immediately.
        
        ## Warranty
        
        This Work is provided “as is”, without warranty of any kind, express or implied.
        The Licensor will not be liable to anyone for any damages related to the Work or this license,
        under any kind of legal claim as far as the law allows.
        "
1769240,GNU Geneal Public License Version 3
1771750,"Various, see the description"
1781298,conditionevaluator
1783258,"Copyright (C) 2004-2010 by Vinay Sajip. All Rights Reserved. See LICENSE for
license."
1783669,"This project is only for Dotcom Row services, no other use is allowed or even possible!"
1786216,no reuse
1787539,FOSS
1787777,Martian Law
1791420,MediaIQ
1791917,file: LICENSE
1795528,NCBI license
1797235,"BSD, see LICENSE.txt for details"
1797442,"CC-BY-NC (Creative Commons, attribution et non commerciale)."
1800127,"Copyright: 2025 Contrast Security, Inc Contact: support@contrastsecurity.com License: Commercial  NOTICE: This Software and the patented inventions embodied within may only be used as part of Contrast Security’s commercial offerings. Even though it is made available through public repositories, use of this Software is subject to the applicable End User Licensing Agreement found at https://www.contrastsecurity.com/enduser-terms-0317a or as otherwise agreed between Contrast Security and the End User. The Software may not be reverse engineered, modified, repackaged, sold, redistributed or otherwise used in a way not consistent with the End User License Agreement. "
1800263,CONTRAST SECURITY (see LICENSE.txt)
1800282,"Copyright: 2024 Contrast Security, Inc Contact: support@contrastsecurity.com License: Commercial  NOTICE: This Software and the patented inventions embodied within may only be used as part of Contrast Security’s commercial offerings. Even though it is made available through public repositories, use of this Software is subject to the applicable End User Licensing Agreement found at https://www.contrastsecurity.com/enduser-terms-0317a or as otherwise agreed between Contrast Security and the End User. The Software may not be reverse engineered, modified, repackaged, sold, redistributed or otherwise used in a way not consistent with the End User License Agreement. "
1800378,CC-BY License
1801574,PRIVATE LICENSE
1801889,FreeFreeWare
1801929,UTPL
1801955,https://data.caltech.edu/license
1807244,COSI
1808507,"Cardinal Operations, LLC End User License Agreement"
1809505,Valentin Calomme <info@valentincalomme.com>
1810562,Apple Internal
1810824,Copyright (c) 2020 CORE Studio | Thornton Tomasetti
1813236,Applitools SDK License
1814488,corenet
1815722,BSD License derivative
1818216,Cognitive Scale Inc.
1818802,AGPL-V3
1822032,UH
1824163,http://www.mozilla.org/MPL/
1824572,YourLicense
1824654,NYSL
1826444,GNU Affero GPL v3.0
1830628,https://github.com/biker91620/cozypy/blob/master/LICENSE
1830757,not open
1831007,SEE LICENSE IN LICENSE FILE
1831458,Apache Licence v2.0
1833330,GNU3.0
1833343,dungvc
1836523,https://creativecommons.org/publicdomain/zero/1.0/legalcode
1837053,VIAVI
1840268,Copyright Roseman Labs. All rights reserved.
1840402,ASF 2.0
1841380,Phil
1848715,GNUGPL
1849146,"GNU General Public License (GPL), BSD"
1850307,MITa
1851747,GNU LGPL-v2.1
1854280,CLA
1854452,DEHAAT
1857008,"Copyright (c) 2017, Masafumi Hayashi"
1857095,TODO  
1858139,See source code modules
1860209,Other/Proprietary License (all rights reserved)
1860572,Greedy Open Source
1861610,BSD - See LICENCE file for details
1862168,@
1862953,N.A.
1863263,"Copyright (c) 2018, Timo Stöttner"
1864818,dasdas
1873108,BSD-style
1873722,LGPL version 3
1876173,Chelem
1880929,CU
1881022,kindest
1882197,"© 2018 AIxMed, Inc. All Rights Reserved"
1882510,"(C) Zillow, Inc. 2015-"
1883754,SLA
1885549,GNU Public License v 3 or above
1886846,LCL
1889243,NVIDIA Software License
1889585,NVIDIA Proprietary Software
1890973,Apac2
1894403,SSPLv1
1897732,MICMOD
1898286,EveryOneCanUseIt
1901657,PENDING
1903624,"Copyright Commvault Systems, Inc."
1903741,Apache-style
1904761,http://creativecommons.org/licenses/by-nc-nd/4.0
1904884,Imperva-Community Developer License
1905431,SBG Proprietary.
1907024,cxrct
1908206,# CyberDEM Python License
1919698,Proprietary - See LICENSE file
1920715,Canyon Semiconductor Inc.
1920784,CYCY
1920785,GPL v2+
1921293,PolyFormStrict
1921511,THL
1921843,See http://www.python.org/3.6/license.html
1923951,MATHWORKS CLOUD REFERENCE ARCHITECTURE LICENSE
1925671,"Triple licensed: BSD, LGPL, CDDL"
1926334,Commons Clause License Condition v1.0
1928232,SVT internal
1928338,GPL 2020 Free software to use and distributed it.
1949549,Released under the same license as dagster-cloud: https://pypi.org/project/dagster-cloud/ 
1949554,Released under the same license as dagster-cloud: https://pypi.org/project/dagster-cloud/
1957953,AnuchaU
1958139,LicenseRef-Daily-co-Proprietary
1958551,Driverless AI Evaluation Agreement
1961513,https://www.splunk.com/en_us/legal/splunk-software-license-agreement.html
1961769,License :: GLP3
1962994,DANIEL MONTEIRO
1964953,wip :)
1965472,Licencia
1966293,LGPL v3 Licence
1967634,General Public License version 3 or later
1970998,Copyright (C) 2024 Novo Nordisk A/S
1974229,Copyright ENEA Australia Pty Ltd - All Rights Reserved. Proprietary and confidential
1976076,Linewalks
1980080,"'Creative Commons Attribution-Noncommercial-Share Alike license',"
1983204,C:\Users\kotter\DataQualityPALLAS\LICENSE.txt
1985210,Edgaras Gacionis
1985621,GPLb3+
1988048,Copyright DatabaseCI Pty Ltd 2022
1989704,Databricks Proprietary License
1989757,Databricks License
1992405,SLAC BSD
1997584,Amit Singh
1998223,XiaoLinpeng Licence
1999177,Other/Proprietary License (Proprietary)
2001871,Datalayer License  Do not distribute without prior agreement from Datalayer Inc.  (c) Datalayer Inc. license@datalayer.io
2001918,CoffeeWare
2003050," Copyright 2021 Datalogue, Inc."
2007951,"DataRack License [DataRack] Copyright (C) [2025] [TrattyGod]
        
        Permission is hereby granted, free of charge, to any person or organization obtaining a copy of this software, to use it for commercial or non-commercial purposes, without the need for attribution, subject to the following restrictions:
        
        Prohibition of Distribution: This software may not be distributed, sublicensed, or shared in any form, whether modified or unmodified, without explicit prior written permission from the author.
        
        Prohibition of Copying: No copies of this software, in whole or in part, may be made without the author’s explicit permission.
        
        Prohibition of Modification: This software must not be altered, decompiled, reverse-engineered, or used to create derivative works.
        
        This software is provided ""as is,"" without any express or implied warranty, including but not limited to the warranties of merchantability, fitness for a particular purpose, and noninfringement. In no event shall the author be liable for any claim, damages, or other liability arising from the use of this software."
2008416,DataRobot
2012582,Copyright (C) 2012 by MediaSift Ltd. All Rights Reserved. See LICENSE for the full license.
2012614,Copyright (C) 2012-Present by MediaSift Ltd. All Rights Reserved. See LICENSE for the full license.
2013810,Mongo
2013900,http://github.com/New-Math-Data/datasynth
2017093,WTFL
2018072,© ISSSTESON
2019830,Motorola Confidential
2020268,see LICENSE file for details
2024983,"Copyright (c) 2018, Qingzhi Ma"
2025326,GNU LGPL v3+
2026111,https://github.com/databrickslabs/profile/blob/master/LICENSE
2040057,https://www.dynamsoft.com/Products/barcode-reader-license-agreement.aspx
2040579,APACHE V2
2049291,Apache Software Licens 2
2049737,DeepCast Proprietary License
2058550,ASL V2
2058684,BSD style
2060419,"Copyright (c) 2018, Yusuke Sakai"
2064213,Splunk Licence
2064551,JO-CAL
2065933,http://www.opensource.org/licenses/PythonSoftFoundation.php
2069495,SciPy License (BSD Style)
2072234,CPL-3.0
2076920,Deephaven Community License
2078544,Multi-licensing
2081092,ANL
2083620,GNU LGPL v3/GNU GPL v3
2083654,Maxelerator Foundation
2085491,"Copyright (c) 2020, alexberazouski"
2087703,You can use these codes olny for self evaluation. Cannot use these codes for commercial and academical use.
2087774,"Copyright (c) 2020 Totient, Inc."
2092801,GEP
2093060,This software is proprietary and not licensed for reuse.
2095390,.github/LICENSE.md
2095466,"YEAR: 2016
COPYRIGHT HOLDER: Koji Makiyama"
2096873,Dont use this
2097469,GNU LGPL v.3
2098463,AIP
2098545,BSD (http://dev.2degreesnetwork.com/p/2degrees-license.html)
2100770,All Rights Reserved Cyclica Inc.
2102841,NYU
2104657,"Copyright Yelp, Inc. 2018"
2109742,Copyright (c) 2024 Rupert Hußnätter
2111845,https://github.com/aheadlabs/devops-toolset/blob/master/LICENSE
2111925,SQUAPL
2113520,Devvio
2115320,LicenseRef-Proprietary
2118580,UNC
2121649,Dynamic Graphics Inc
2123752,"(c) 2020-, Pete Jemian (see LICENSE file for details)"
2126335,GNU Affero GPL
2126409,AFLv3
2126574,"BSD-3C.  Copyright (c) 2018, Larry Turner, Schneider Electric.  All rights reserved."
2129385,ABU 1.1
2130313,Michał Kosturek
2130845,"GNU General Public Licence, Version 2"
2131465,FREE TO USE
2131516,"LGPL v3, read LICENSE.txt"
2132273,CC0 (copyright waived)
2134322,Open RAIL++-M
2136452,ASK FOR PERMISSIONS
2138297,"GPL version 3, excluding DRM provisions"
2139409,TGPPLv1.0
2148850,CCL
2151525,GsetPL-3.0
2154013,NCI
2154520,(c) authors
2158730,Apachev2 or later
2159357,UNLISENCED
2162919,buy 1-free-1
2163283,Licensed
2163295,Diveplane Corporation Free Software License
2163467,WTFGL
2165882,"LGPL, see LICENSE file."
2166972,DBAD
2168865,"BSD license, see LICENSE.txt"
2169095,EULA License
2173156,https://gitlab.com/ID4me/django-allauth-id4me/blob/master/LICENSE
2176905,New BSD License (http://www.opensource.org/licenses/bsd-license.php)
2178186,Creative Common
2179249,BSD licenses
2179872,Fusionbox
2180283,@H._T Free
2181780,Dual Licenced under GPL and BSD
2182427,ismail-titas1815 # Example license
2182784,"Apache licence, see LICENCE"
2183336,License :: OSI Approved
2184026,CLOUDJET SOLUTIONS License
2188362,GLP3
2188514,Freely Distributable
2189850,src/django_cloud_provider_zones/LICENSE
2192764,Django
2193505,"BSD Licence, see LICENCE.txt"
2199330,"BSD licence, see LICENCE"
2199729,LGPG
2201946,<Include License Name>
2203472,BSD License - see LICENSE file
2205310,YMMV
2208407,GNU LGPL (http://www.gnu.org/licenses/lgpl.html)
2212029,UF License
2212064,"BSD License, Version 3.0"
2212078,see LICENCE
2214419,BSD Licens
2216489,BSD License Version 2
2217200,"BSD, see LICENSE file."
2220696,TDB Licence
2222056,Public Domain / CC0
2223077,"Various, see README file"
2224637,GNU Lesser GPL
2225456,"LGPL licence, see LICENSE file"
2226255,: OSI Approved :: BSD License
2226351,Iubenda integration for web application
2228353,M.I.T.
2228383,Copyright (C) Jani Kajala. All rights reserved
2230517,All rights reserved. 2023
2231206,Proprietary Software License Agreement
2236297,Beer Licence
2236740,Django License
2241543,GPL v. 3
2242202,GNU GPL v3 License
2242634,"GNU licence, see LICENCE"
